Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"VILLAGE END/ Scheme Name: PROVIDING NEW SVS SCHEME TO ADDATEEGALA,/SC120150459",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,10/09/2020,1244/2020,0.000,Nil,0.210,0.150,70.000,3.000,45.000,34.000,13.000,Nil,Nil,Nil,7.260,Nil,281.000,138.000,Nil,118.000,Nil,Nil,L0035892170
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"VILLAGE END/ Scheme Name: PROVIDING NEW SVS SCHEME TO ADDATEEGALA,/SC120150459",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,25/01/2021,542/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0035813634
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"COLONY/ Scheme Name: GLSR,/SC120238240",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,10/06/2020,163/2020,0.000,Nil,0.210,0.120,121.000,5.000,76.000,87.000,32.000,Nil,Nil,Nil,7.290,Nil,723.000,352.000,Nil,300.000,Nil,Nil,L0032884830
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"COLONY/ Scheme Name: GLSR,/SC120238240",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,09/06/2020,223/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0035716014
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"COLONY/ Scheme Name: GLSR,/SC120238240",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,25/01/2021,540/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0035813492
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"ON ROADSIDE/ Scheme Name: GLSR,/SC120238241",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,25/01/2021,547/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0035813843
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"ON ROADSIDE/ Scheme Name: GLSR,/SC120238241",Deep Tubewell,KAKINADA / DISTRICT Lab,19/12/2020,1416,0.000,Nil,0.230,0.050,68.000,3.000,10.000,32.000,12.000,Nil,Nil,Nil,7.580,Nil,266.000,132.000,Nil,112.000,Nil,Nil,L0035220597
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"ON PAVANA GIRI HILL/ Scheme Name: GLSR,/SC120238242",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,10/09/2020,1256/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.200,Nil,Nil,0.000,L0034637804
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"ON PAVANA GIRI HILL/ Scheme Name: GLSR,/SC120238242",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,10/06/2020,164/2020,0.000,Nil,0.200,0.070,77.000,4.000,44.000,51.000,19.000,Nil,Nil,Nil,7.310,Nil,424.000,200.000,Nil,178.000,Nil,Nil,L0032884836
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"ON PAVANA GIRI HILL/ Scheme Name: GLSR,/SC120238242",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,25/01/2021,548/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.010,Nil,Nil,0.000,L0035813893
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"NEAR HIGH SCHOOL/ Scheme Name: GLSR,/SC120238243",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,10/06/2020,241/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0035716076
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"NEAR HIGH SCHOOL/ Scheme Name: GLSR,/SC120238243",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,09/07/2020,549/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0035813957
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"HPBANK/ Scheme Name: HANDPUMP,/SC1871228",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,07/10/2020,1565/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0034652875
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"HPBANK/ Scheme Name: HANDPUMP,/SC1871228",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,11/07/2020,595/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0035827886
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"HPBANK/ Scheme Name: HANDPUMP,/SC1871228",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,17/08/2020,939/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0035800600
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"HPSANTHA MARKET/ Scheme Name: HANDPUMP,/SC1871229",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,05/02/2021,4060/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0037148944
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"HPST BOYS HOSTEL/ Scheme Name: HANDPUMP,/SC1871230",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,07/07/2020,516/2020,0.000,Nil,0.200,0.210,77.000,9.000,71.000,64.000,24.000,Nil,Nil,Nil,7.100,Nil,530.000,260.000,Nil,224.000,Nil,Nil,L0033887744
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"HPST BOYS HOSTEL/ Scheme Name: HANDPUMP,/SC1871230",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,05/02/2021,4055/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0037148959
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"HPST BOYS HOSTEL/ Scheme Name: HANDPUMP,/SC1871230",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,07/12/2020,2711/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0035715333
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"HPCHILDREN HOME/ Scheme Name: HANDPUMP,/SC1871231",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,17/08/2020,930,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0035800285
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"HPCHILDREN HOME/ Scheme Name: HANDPUMP,/SC1871232",Deep Tubewell,KAKINADA / DISTRICT Lab,16/10/2020,1032 B,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0036227544
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"HPCHILDREN HOME/ Scheme Name: HANDPUMP,/SC1871232",Deep Tubewell,KAKINADA / DISTRICT Lab,01/10/2020,1032,0.000,Nil,0.220,0.170,86.000,6.000,35.000,40.000,15.000,Nil,Nil,Nil,7.220,Nil,330.000,164.000,Nil,140.000,Nil,Nil,L0034309259
